'GENE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,"10,000 cell Rep1 (P1)","10,000 cell Rep2 (P2)","10,000 cell Rep3 (P3)",Gene Category
'1500012F01RIK,0,0.227007497,0,74.81872126,0,37.52318746,88.65274289,21.52540026,0,0,60.86914224,0,90.70151556,25.84767142,0,98.02768214,0,13.22342007,46.76542449,52.12000619,54.77965856,
'1500015A07RIK,0,0,0,0,63.77021498,0,0,0,0,0,0,0,0,0.076736537,0,0,0,0,1.220174358,0.159477923,0.474081827,
'1500015O10RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1500017E21RIK,0,0.161972757,0.154567584,3.463432329,0,2.610205636,0,0,0.179227653,0,0,4.134836543,0.059020354,0,0,0,0,0.130939027,0.971395963,2.974518961,2.178862603,
'1500031L02RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084622733,0,0,0,0,6.731516571,5.32315357,2.612806451,
'1500032L24RIK,2.422404001,0.602434132,0,0,0,1.137003047,0,2.38143605,14.77280232,0,0,0,0.345229701,0,0,0,0,4.94437389,158.195235,164.699965,208.657,
'1520402A15RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252413237,
'1600002H07RIK,0,0.072574482,0.051088905,0,0,0.128109917,0.066298853,0,0,0.058349024,0,0,0,0.069039443,0,0,0,0,0.975633198,0,0.725426725,
'1600002K03RIK,10.90204716,0,0,0,0,0,69.36072051,0,0,0.237730851,0,0,0,0,0,0,0,0,11.12538662,13.4404522,13.93019135,
'1600012F09RIK,0,0,0,36.74827835,0,0,48.57552194,0,0,0,0,0,0,0.040413696,0,0,0,0,4.609319549,3.37136713,3.27776808,
'1600012H06RIK,0.900111621,0,44.78259438,0,0.646543121,51.50395075,35.87187754,0.052297258,0.058065204,0,0,0.117147175,0.06292709,0.05617971,0,0,0,0,23.04679482,13.75709389,15.81091664,
'1600012P17RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1600014C10RIK,0,0,0.065586883,0,0,32.14452754,0,89.63257393,0,0,0.033776498,0,170.2759258,7.795915566,0,49.83320066,0,11.20594769,10.13832728,9.963867425,7.302445512,LPS Response
'1600014C23RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233640401,0.20248969,
'1600014K23RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1600015I10RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1600016N20RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.265624149,0,0,0,0,0,
'1600021P15RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102601395,0,1.120692828,
'1600027N09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200585039,2.455967305,3.363302859,
'1600029D21RIK,3087.25377,2.445496321,1.663612454,2.278788485,8075.131734,6595.902284,1.787111213,83.01424025,2.659615806,2.462914949,1.300721867,3.555642465,2.519388144,2.558637189,344.4570937,2.558091158,184.3757421,1.934637941,540.0448452,531.8056728,623.0784746,
'1600029I14RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1600029O15RIK,0.105655189,0.66718112,0.117234602,0.072309276,0.529986092,0.220586803,0.227440739,0.041218615,0.181076629,0.148065009,0.181033926,0.926229033,0,0.316911539,0,0.435660953,0,0.065905516,0.186256679,0.08266977,0.099054779,
'1700001C02RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001C19RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539927402,0,0,
'1700001F09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001G17RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132166966,0,0.213031601,
'1700001J03RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001J11RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001K19RIK,0,0,0,0,0,0,0,0,0,0.150604105,0,0,0,0,0,0,0,0,0,0,0,
'1700001K23RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001L05RIK,0,0,0,0,0,0,0,0,12.1437694,0,0,0,0,0,0,0,0,0,0,0.669874542,0.339055704,
'1700001L19RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700001O22RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084653335,0.256889345,
'1700001P01RIK,0,0,0,0,0,5.371624154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700003E16RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700003F12RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700003G18RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700003H04RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700003M02RIK,0,0,0,0,0,0,0,0,0,0,0,0.278660576,0,0,0,0,0,0,0,0,0,
'1700006A11RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700006E09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007B14RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007E06RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007G11RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007I08RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007K09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700007K13RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837867561,0,
'1700008A04RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700008F21RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700008I05RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700008J07RIK,0,0,0,0,0,0,0.055619861,0,0,0,0,0,0,0,0,0,0,0,1.927346588,0.33805712,0.507274842,
'1700008O03RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970278437,0.207202713,
'1700008P02RIK,0,1.050450162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700008P20RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700009J07RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700009N14RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700009P17RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111055807,0.610179678,0.718843581,
'1700010B08RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700010D01RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700010H22RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700010I14RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806956306,0,0,
'1700010M22RIK,0,0,0,0,0,0,0,0,0,0,14.82677699,0,0,0,0,0,0,0,0,0,0,
'1700011A15RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011E24RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112560659,
'1700011F03RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011F14RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011H14RIK,0,0.134243802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011I03RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011L22RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700011M02RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700012A03RIK,3.300460364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1700012A16RIK,0,0,0,0,0,1.80654069,0,0,0,0,0,0,0,0,0,0,0,0,0.894684896,0.829034828,0.472784686,
'1700012B07RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
