,gene_category
A330040F15RIK,
A330049M08RIK,
A330050B17RIK,
A330050F15RIK,
A330069E16RIK,
A330070K13RIK,
A330076H08RIK,
A3GALT2,
A430005L14RIK,
A430033K04RIK,
A430078G23RIK,
A430084P05RIK,LPS Response
A430089I19RIK,
A430093F15RIK,
A430105I19RIK,
A430107O13RIK,
A430110N23RIK,
A4GALT,
A4GNT,
A530013C23RIK,
A530016L24RIK,
A530021J07RIK,
A530023O14RIK,
A530053G22RIK,
A530054K11RIK,
A530058N18RIK,
A530064D06RIK,
A530088E08RIK,
A530095I07RIK,
A530098C11RIK,
A530099J19RIK,
A630001G21RIK,LPS Response
A630005I04RIK,
A630007B06RIK,
A630010A05RIK,
A630012P03RIK,LPS Response
A630033H20RIK,
A630052C17RIK,
A630055G03RIK,
A630066F11RIK,
A630072M18RIK,LPS Response
A630073D07RIK,
A630075F10RIK,
A630091E08RIK,
A630095E13RIK,
A730008H23RIK,
A730011L01RIK,
A730017C20RIK,
A730017L22RIK,
A730018C14RIK,
A730020M07RIK,
A730037C10RIK,
A730085E03RIK,
A830007P12RIK,
A830010M20RIK,
A830018L16RIK,
A830019P07RIK,
A830080D01RIK,
A830082N09RIK,
A830093I24RIK,
A930001N09RIK,
A930003A15RIK,
A930003O13RIK,
A930004D18RIK,
A930005H10RIK,
A930005I04RIK,
A930007I19RIK,
A930011G23RIK,
A930012L18RIK,
A930013B10RIK,
A930013F10RIK,
A930015D03RIK,LPS Response
A930017M01RIK,
A930018M24RIK,
A930018P22RIK,
A930038C07RIK,
AA387883,
AA388235,
AA408296,
AA415398,
AA465934,
AA467197,LPS Response
AA474331,
AA543186,
AA545190,
AA619741,
AA792892,
AA881470,
AA960436,LPS Response
AA986860,
AA987161,
AAAS,
AACS,
AADAC,
AADACL2,
AADACL3,
AADAT,
AAGAB,
AAK1,
AAMP,
AANAT,
AARD,
AARS,
AARS2,
AARSD1,
AASDH,
AASDHPPT,
AASS,
AATF,
AATK,
AATYK3,
AB033515,
AB033524,
AB056442,
AB251060,
AB251100,
AB251138,
AB251164,
AB251181,
AB251235,
AB251236,
AB335823,
AB336517,
AB336562,
AB336647,
AB336678,
AB336697,
AB336723,
AB336785,
AB336794,
AB336801,
AB336819,
AB336885,
AB336927,
AB337358,
AB337665,
AB337734,
AB338584,
AB338586,
AB338600,
AB339176,
AB339387,
AB339827,
AB339850,
AB339928,
AB339929,
AB339931,
AB340012,
AB340047,
AB340065,
